Starting experiment with learning rate 0.01
Epoch=0001, t_cost=0.282540113, t_acc=0.9213, t_err=1180.0003, v_cost=0.429481745, v_acc=0.8900, v_err=110.0000, te_acc=0.8801, te_err=326.0001 
Epoch=0002, t_cost=0.210504845, t_acc=0.9363, t_err=956.0001, v_cost=0.422537893, v_acc=0.8980, v_err=102.0000, te_acc=0.8871, te_err=307.0000 
Epoch=0003, t_cost=0.211661980, t_acc=0.9382, t_err=927.0000, v_cost=0.506291568, v_acc=0.8810, v_err=119.0000, te_acc=0.8746, te_err=341.0000 
Epoch=0004, t_cost=0.187272489, t_acc=0.9460, t_err=810.0003, v_cost=0.526787698, v_acc=0.8980, v_err=102.0000, te_acc=0.8801, te_err=326.0001 
Epoch=0005, t_cost=0.165035829, t_acc=0.9533, t_err=700.0002, v_cost=0.533572495, v_acc=0.8900, v_err=110.0000, te_acc=0.8779, te_err=332.0000 
Epoch=0006, t_cost=0.156154051, t_acc=0.9543, t_err=686.0000, v_cost=0.579292953, v_acc=0.8900, v_err=110.0000, te_acc=0.8864, te_err=309.0000 
Epoch=0007, t_cost=0.172663003, t_acc=0.9528, t_err=708.0004, v_cost=0.608283043, v_acc=0.8930, v_err=107.0000, te_acc=0.8930, te_err=290.9999 
Epoch=0008, t_cost=0.140674159, t_acc=0.9612, t_err=582.0000, v_cost=0.624315798, v_acc=0.8920, v_err=108.0000, te_acc=0.8919, te_err=294.0001 
Epoch=0009, t_cost=0.146929651, t_acc=0.9596, t_err=606.0004, v_cost=0.617304921, v_acc=0.9000, v_err=100.0000, te_acc=0.8908, te_err=297.0000 
Epoch=0010, t_cost=0.131751254, t_acc=0.9637, t_err=544.9998, v_cost=0.672944307, v_acc=0.8970, v_err=103.0000, te_acc=0.8945, te_err=287.0000 
Epoch=0011, t_cost=0.171152204, t_acc=0.9590, t_err=615.0001, v_cost=0.746213436, v_acc=0.8920, v_err=108.0000, te_acc=0.8945, te_err=287.0000 
Epoch=0012, t_cost=0.170206413, t_acc=0.9565, t_err=652.0003, v_cost=0.728545308, v_acc=0.8880, v_err=112.0000, te_acc=0.8857, te_err=311.0000 
Epoch=0013, t_cost=0.203266397, t_acc=0.9539, t_err=690.9996, v_cost=0.848303854, v_acc=0.8900, v_err=110.0000, te_acc=0.8871, te_err=307.0000 
Epoch=0014, t_cost=0.148368180, t_acc=0.9645, t_err=532.0001, v_cost=0.849672139, v_acc=0.9000, v_err=100.0000, te_acc=0.8974, te_err=279.0000 
Epoch=0015, t_cost=0.105357714, t_acc=0.9711, t_err=432.9997, v_cost=0.832306027, v_acc=0.9010, v_err=99.0000, te_acc=0.9000, te_err=272.0001 
Epoch=0016, t_cost=0.160762310, t_acc=0.9640, t_err=540.0002, v_cost=0.901861966, v_acc=0.8970, v_err=103.0000, te_acc=0.8930, te_err=290.9999 
