Starting experiment with number of hidden units 100 and learning_rate 0.001
Epoch:0000, t_cost=0.456550658, t_acc=0.8749, t_err=1875.9996, v_cost=0.475845754, v_acc=0.8620, v_err=138.0000, te_acc=0.8629, te_err=373.0000 
Epoch:0001, t_cost=0.407324940, t_acc=0.8877, t_err=1685.0004, v_cost=0.440292895, v_acc=0.8790, v_err=121.0000, te_acc=0.8706, te_err=352.0000 
Epoch:0002, t_cost=0.374889016, t_acc=0.8941, t_err=1588.9996, v_cost=0.420935243, v_acc=0.8800, v_err=120.0000, te_acc=0.8746, te_err=341.0000 
Epoch:0003, t_cost=0.344560981, t_acc=0.9007, t_err=1488.9997, v_cost=0.402105778, v_acc=0.8860, v_err=114.0000, te_acc=0.8783, te_err=331.0000 
Epoch:0004, t_cost=0.320363551, t_acc=0.9069, t_err=1397.0000, v_cost=0.388824522, v_acc=0.8920, v_err=108.0000, te_acc=0.8805, te_err=325.0001 
Epoch:0005, t_cost=0.298879057, t_acc=0.9133, t_err=1301.0001, v_cost=0.379010707, v_acc=0.8910, v_err=109.0000, te_acc=0.8831, te_err=318.0000 
Epoch:0006, t_cost=0.280394733, t_acc=0.9175, t_err=1238.0004, v_cost=0.372789860, v_acc=0.8940, v_err=106.0000, te_acc=0.8864, te_err=309.0000 
Epoch:0007, t_cost=0.264178067, t_acc=0.9234, t_err=1149.0002, v_cost=0.369541615, v_acc=0.8990, v_err=101.0000, te_acc=0.8897, te_err=300.0000 
Epoch:0008, t_cost=0.249300793, t_acc=0.9262, t_err=1107.0004, v_cost=0.366851270, v_acc=0.8990, v_err=101.0000, te_acc=0.8908, te_err=297.0000 
Epoch:0009, t_cost=0.236403659, t_acc=0.9289, t_err=1066.0002, v_cost=0.366547078, v_acc=0.8990, v_err=101.0000, te_acc=0.8912, te_err=296.0000 
Epoch:0010, t_cost=0.223904833, t_acc=0.9328, t_err=1008.0001, v_cost=0.365871817, v_acc=0.8990, v_err=101.0000, te_acc=0.8934, te_err=290.0000 
Epoch:0011, t_cost=0.212065116, t_acc=0.9362, t_err=956.9997, v_cost=0.365152955, v_acc=0.9000, v_err=100.0000, te_acc=0.8960, te_err=283.0001 
Epoch:0012, t_cost=0.200750917, t_acc=0.9399, t_err=900.9996, v_cost=0.365417391, v_acc=0.9010, v_err=99.0000, te_acc=0.8956, te_err=284.0000 
Epoch:0013, t_cost=0.190106735, t_acc=0.9422, t_err=866.9999, v_cost=0.365977049, v_acc=0.9030, v_err=97.0000, te_acc=0.8967, te_err=280.9999 
Epoch:0014, t_cost=0.179940164, t_acc=0.9459, t_err=810.9999, v_cost=0.367045850, v_acc=0.9070, v_err=93.0000, te_acc=0.8971, te_err=279.9999 
Epoch:0015, t_cost=0.170289248, t_acc=0.9491, t_err=764.0004, v_cost=0.368491471, v_acc=0.9060, v_err=94.0000, te_acc=0.8967, te_err=280.9999 
Epoch:0016, t_cost=0.161236361, t_acc=0.9527, t_err=708.9999, v_cost=0.369508088, v_acc=0.9050, v_err=95.0000, te_acc=0.8982, te_err=277.0000 
Epoch:0017, t_cost=0.152381092, t_acc=0.9559, t_err=661.9996, v_cost=0.371616781, v_acc=0.9040, v_err=96.0000, te_acc=0.8971, te_err=279.9999 
Epoch:0018, t_cost=0.144042864, t_acc=0.9578, t_err=633.0004, v_cost=0.373886585, v_acc=0.9060, v_err=94.0000, te_acc=0.8974, te_err=279.0000 
Epoch:0019, t_cost=0.135865033, t_acc=0.9603, t_err=596.0003, v_cost=0.377458483, v_acc=0.9080, v_err=92.0000, te_acc=0.8974, te_err=279.0000 
Epoch:0020, t_cost=0.127764210, t_acc=0.9628, t_err=557.9996, v_cost=0.380203217, v_acc=0.9070, v_err=93.0000, te_acc=0.8993, te_err=274.0000 
Epoch:0021, t_cost=0.120191701, t_acc=0.9653, t_err=519.9999, v_cost=0.383666813, v_acc=0.9060, v_err=94.0000, te_acc=0.8993, te_err=274.0000 
Epoch:0022, t_cost=0.113216989, t_acc=0.9672, t_err=492.0003, v_cost=0.387668937, v_acc=0.9060, v_err=94.0000, te_acc=0.8978, te_err=278.0000 
Epoch:0023, t_cost=0.106256813, t_acc=0.9695, t_err=457.0001, v_cost=0.393312842, v_acc=0.9080, v_err=92.0000, te_acc=0.8982, te_err=277.0000 
Epoch:0024, t_cost=0.100107148, t_acc=0.9719, t_err=422.0000, v_cost=0.398587465, v_acc=0.9090, v_err=91.0000, te_acc=0.8993, te_err=274.0000 
Epoch:0025, t_cost=0.093959130, t_acc=0.9740, t_err=390.0003, v_cost=0.403549939, v_acc=0.9090, v_err=91.0000, te_acc=0.8985, te_err=276.0000 
Epoch:0026, t_cost=0.088818915, t_acc=0.9766, t_err=351.0001, v_cost=0.411008239, v_acc=0.9100, v_err=90.0000, te_acc=0.8971, te_err=279.9999 
Epoch:0027, t_cost=0.083018459, t_acc=0.9785, t_err=322.0001, v_cost=0.416775912, v_acc=0.9090, v_err=91.0000, te_acc=0.8971, te_err=279.9999 
Epoch:0028, t_cost=0.077872135, t_acc=0.9802, t_err=297.0001, v_cost=0.423630595, v_acc=0.9080, v_err=92.0000, te_acc=0.8963, te_err=282.0001 
Epoch:0029, t_cost=0.073098809, t_acc=0.9813, t_err=280.0003, v_cost=0.430678219, v_acc=0.9070, v_err=93.0000, te_acc=0.8971, te_err=279.9999 
Epoch:0030, t_cost=0.068990402, t_acc=0.9829, t_err=257.0003, v_cost=0.437702656, v_acc=0.9050, v_err=95.0000, te_acc=0.8963, te_err=282.0001 
Epoch:0031, t_cost=0.064677835, t_acc=0.9839, t_err=241.9996, v_cost=0.445286542, v_acc=0.9050, v_err=95.0000, te_acc=0.8956, te_err=284.0000 
Epoch:0032, t_cost=0.060930640, t_acc=0.9849, t_err=226.0002, v_cost=0.451997429, v_acc=0.9040, v_err=96.0000, te_acc=0.8945, te_err=287.0000 
Epoch:0033, t_cost=0.057749242, t_acc=0.9859, t_err=211.0004, v_cost=0.461288184, v_acc=0.9040, v_err=96.0000, te_acc=0.8938, te_err=289.0000 
Epoch:0034, t_cost=0.054760881, t_acc=0.9865, t_err=203.0003, v_cost=0.469034046, v_acc=0.9050, v_err=95.0000, te_acc=0.8934, te_err=290.0000 
Epoch:0035, t_cost=0.051917791, t_acc=0.9870, t_err=195.0002, v_cost=0.477206290, v_acc=0.9060, v_err=94.0000, te_acc=0.8919, te_err=294.0001 
Epoch:0036, t_cost=0.050115805, t_acc=0.9873, t_err=191.0001, v_cost=0.484705269, v_acc=0.9070, v_err=93.0000, te_acc=0.8923, te_err=293.0001 
Epoch:0037, t_cost=0.048052017, t_acc=0.9873, t_err=189.9996, v_cost=0.493139625, v_acc=0.9090, v_err=91.0000, te_acc=0.8912, te_err=296.0000 
Epoch:0038, t_cost=0.046173919, t_acc=0.9879, t_err=182.0004, v_cost=0.501440883, v_acc=0.9100, v_err=90.0000, te_acc=0.8904, te_err=298.0000 
Epoch:0039, t_cost=0.044596206, t_acc=0.9887, t_err=170.0002, v_cost=0.510256767, v_acc=0.9090, v_err=91.0000, te_acc=0.8904, te_err=298.0000 
Epoch:0040, t_cost=0.042248014, t_acc=0.9889, t_err=166.9997, v_cost=0.520421624, v_acc=0.9090, v_err=91.0000, te_acc=0.8912, te_err=296.0000 
Epoch:0041, t_cost=0.040839795, t_acc=0.9891, t_err=162.9996, v_cost=0.528958857, v_acc=0.9080, v_err=92.0000, te_acc=0.8912, te_err=296.0000 
Epoch:0042, t_cost=0.038494017, t_acc=0.9895, t_err=157.0004, v_cost=0.538286746, v_acc=0.9080, v_err=92.0000, te_acc=0.8904, te_err=298.0000 
Epoch:0043, t_cost=0.037513256, t_acc=0.9897, t_err=155.0004, v_cost=0.549012959, v_acc=0.9080, v_err=92.0000, te_acc=0.8915, te_err=295.0000 
Epoch:0044, t_cost=0.035426334, t_acc=0.9901, t_err=147.9998, v_cost=0.557655275, v_acc=0.9070, v_err=93.0000, te_acc=0.8908, te_err=297.0000 
Epoch:0045, t_cost=0.034124687, t_acc=0.9905, t_err=143.0002, v_cost=0.566960931, v_acc=0.9090, v_err=91.0000, te_acc=0.8919, te_err=294.0001 
Epoch:0046, t_cost=0.032823890, t_acc=0.9909, t_err=135.9996, v_cost=0.573995411, v_acc=0.9100, v_err=90.0000, te_acc=0.8908, te_err=297.0000 
Epoch:0047, t_cost=0.031451900, t_acc=0.9916, t_err=126.0003, v_cost=0.582332253, v_acc=0.9100, v_err=90.0000, te_acc=0.8915, te_err=295.0000 
