Starting experiment with learning_rate 0.001
Epoch:0000, t_cost=2.007956982, t_acc=0.7861, t_err=3209.0002, v_cost=2.009009123, v_acc=0.7770, v_err=223.0000, te_acc=0.7846, te_err=586.0000 
Epoch:0001, t_cost=1.318781137, t_acc=0.8169, t_err=2746.0000, v_cost=1.315719008, v_acc=0.8150, v_err=185.0000, te_acc=0.8096, te_err=518.0000 
Epoch:0002, t_cost=0.905312538, t_acc=0.8377, t_err=2434.9996, v_cost=0.895643651, v_acc=0.8310, v_err=169.0000, te_acc=0.8371, te_err=443.0000 
Epoch:0003, t_cost=0.721258461, t_acc=0.8544, t_err=2184.0003, v_cost=0.709815204, v_acc=0.8420, v_err=158.0000, te_acc=0.8548, te_err=395.0000 
Epoch:0004, t_cost=0.624456882, t_acc=0.8651, t_err=2022.9998, v_cost=0.613012254, v_acc=0.8550, v_err=145.0000, te_acc=0.8603, te_err=380.0000 
Epoch:0005, t_cost=0.566372991, t_acc=0.8707, t_err=1939.9998, v_cost=0.555724561, v_acc=0.8630, v_err=137.0000, te_acc=0.8632, te_err=372.0000 
Epoch:0006, t_cost=0.528430521, t_acc=0.8745, t_err=1881.9997, v_cost=0.518839836, v_acc=0.8680, v_err=132.0000, te_acc=0.8647, te_err=368.0001 
Epoch:0007, t_cost=0.501868486, t_acc=0.8769, t_err=1846.0000, v_cost=0.493464768, v_acc=0.8720, v_err=128.0000, te_acc=0.8676, te_err=360.0000 
Epoch:0008, t_cost=0.482068419, t_acc=0.8796, t_err=1806.0002, v_cost=0.474862158, v_acc=0.8760, v_err=124.0000, te_acc=0.8687, te_err=357.0001 
Epoch:0009, t_cost=0.466485798, t_acc=0.8811, t_err=1783.0002, v_cost=0.460484415, v_acc=0.8810, v_err=119.0000, te_acc=0.8702, te_err=353.0000 
Epoch:0010, t_cost=0.453738540, t_acc=0.8828, t_err=1758.0003, v_cost=0.449055552, v_acc=0.8820, v_err=118.0000, te_acc=0.8724, te_err=347.0001 
Epoch:0011, t_cost=0.442914039, t_acc=0.8846, t_err=1731.0002, v_cost=0.439600050, v_acc=0.8860, v_err=114.0000, te_acc=0.8750, te_err=340.0000 
Epoch:0012, t_cost=0.433468252, t_acc=0.8864, t_err=1704.0002, v_cost=0.431623936, v_acc=0.8880, v_err=112.0000, te_acc=0.8765, te_err=336.0001 
Epoch:0013, t_cost=0.425067127, t_acc=0.8889, t_err=1667.0001, v_cost=0.424778581, v_acc=0.8880, v_err=112.0000, te_acc=0.8765, te_err=336.0001 
Epoch:0014, t_cost=0.417486101, t_acc=0.8909, t_err=1636.0000, v_cost=0.418883532, v_acc=0.8910, v_err=109.0000, te_acc=0.8790, te_err=329.0000 
Epoch:0015, t_cost=0.410568565, t_acc=0.8926, t_err=1611.0000, v_cost=0.413647085, v_acc=0.8910, v_err=109.0000, te_acc=0.8779, te_err=332.0000 
Epoch:0016, t_cost=0.404205590, t_acc=0.8935, t_err=1598.0002, v_cost=0.408995897, v_acc=0.8910, v_err=109.0000, te_acc=0.8783, te_err=331.0000 
Epoch:0017, t_cost=0.398311615, t_acc=0.8946, t_err=1581.0004, v_cost=0.404750437, v_acc=0.8920, v_err=108.0000, te_acc=0.8787, te_err=330.0000 
Epoch:0018, t_cost=0.392815500, t_acc=0.8957, t_err=1563.9997, v_cost=0.400853872, v_acc=0.8930, v_err=107.0000, te_acc=0.8798, te_err=327.0000 
Epoch:0019, t_cost=0.387634009, t_acc=0.8967, t_err=1550.0003, v_cost=0.397251338, v_acc=0.8940, v_err=106.0000, te_acc=0.8801, te_err=326.0001 
Epoch:0020, t_cost=0.382778704, t_acc=0.8974, t_err=1538.9997, v_cost=0.393916577, v_acc=0.8940, v_err=106.0000, te_acc=0.8820, te_err=321.0000 
Epoch:0021, t_cost=0.378224850, t_acc=0.8984, t_err=1523.9999, v_cost=0.390860528, v_acc=0.8930, v_err=107.0000, te_acc=0.8835, te_err=317.0000 
Epoch:0022, t_cost=0.373885244, t_acc=0.8992, t_err=1511.9997, v_cost=0.387966603, v_acc=0.8940, v_err=106.0000, te_acc=0.8849, te_err=312.9999 
Epoch:0023, t_cost=0.369746864, t_acc=0.9003, t_err=1496.0003, v_cost=0.385236919, v_acc=0.8960, v_err=104.0000, te_acc=0.8849, te_err=312.9999 
Epoch:0024, t_cost=0.365774512, t_acc=0.9007, t_err=1488.9997, v_cost=0.382707506, v_acc=0.8970, v_err=103.0000, te_acc=0.8857, te_err=311.0000 
Epoch:0025, t_cost=0.361995846, t_acc=0.9017, t_err=1473.9999, v_cost=0.380337954, v_acc=0.8950, v_err=105.0000, te_acc=0.8853, te_err=311.9999 
Epoch:0026, t_cost=0.358361393, t_acc=0.9027, t_err=1459.9997, v_cost=0.378107816, v_acc=0.8950, v_err=105.0000, te_acc=0.8857, te_err=311.0000 
Epoch:0027, t_cost=0.354878634, t_acc=0.9033, t_err=1450.0004, v_cost=0.376033574, v_acc=0.8960, v_err=104.0000, te_acc=0.8864, te_err=309.0000 
Epoch:0028, t_cost=0.351517498, t_acc=0.9039, t_err=1440.9998, v_cost=0.374054700, v_acc=0.8960, v_err=104.0000, te_acc=0.8871, te_err=307.0000 
Epoch:0029, t_cost=0.348273993, t_acc=0.9041, t_err=1438.0002, v_cost=0.372150779, v_acc=0.8960, v_err=104.0000, te_acc=0.8871, te_err=307.0000 
Epoch:0030, t_cost=0.345124304, t_acc=0.9049, t_err=1426.0000, v_cost=0.370325148, v_acc=0.8960, v_err=104.0000, te_acc=0.8879, te_err=305.0000 
Epoch:0031, t_cost=0.342077941, t_acc=0.9057, t_err=1415.0003, v_cost=0.368543595, v_acc=0.8960, v_err=104.0000, te_acc=0.8893, te_err=300.9999 
Epoch:0032, t_cost=0.339128196, t_acc=0.9060, t_err=1409.9997, v_cost=0.366866827, v_acc=0.8960, v_err=104.0000, te_acc=0.8897, te_err=300.0000 
Epoch:0033, t_cost=0.336260706, t_acc=0.9067, t_err=1399.0000, v_cost=0.365268856, v_acc=0.8950, v_err=105.0000, te_acc=0.8915, te_err=295.0000 
Epoch:0034, t_cost=0.333478779, t_acc=0.9077, t_err=1384.0002, v_cost=0.363757998, v_acc=0.8960, v_err=104.0000, te_acc=0.8926, te_err=291.9999 
Epoch:0035, t_cost=0.330758423, t_acc=0.9083, t_err=1374.9996, v_cost=0.362322330, v_acc=0.8970, v_err=103.0000, te_acc=0.8938, te_err=289.0000 
Epoch:0036, t_cost=0.328094631, t_acc=0.9090, t_err=1365.0003, v_cost=0.360922009, v_acc=0.9000, v_err=100.0000, te_acc=0.8938, te_err=289.0000 
Epoch:0037, t_cost=0.325496495, t_acc=0.9097, t_err=1353.9997, v_cost=0.359553277, v_acc=0.9000, v_err=100.0000, te_acc=0.8938, te_err=289.0000 
