Starting experiment with learning rate 0.000584097519994 layers 3 num_hidden 100 dropout True
Epoch:0000, t_cost=2.299715519, t_acc=0.1369, t_err=12946.0001, v_cost=2.300215244, v_acc=0.1230, v_err=877.0000, te_acc=0.1335, te_err=2357.0000 
Epoch:0001, t_cost=2.291495323, t_acc=0.1849, t_err=12226.0000, v_cost=2.290561438, v_acc=0.1970, v_err=803.0000, te_acc=0.1809, te_err=2228.0000 
Epoch:0002, t_cost=2.270243168, t_acc=0.2257, t_err=11613.9999, v_cost=2.270379782, v_acc=0.1990, v_err=801.0000, te_acc=0.2210, te_err=2119.0000 
Epoch:0003, t_cost=2.212597132, t_acc=0.2597, t_err=11104.9998, v_cost=2.210436106, v_acc=0.2530, v_err=747.0000, te_acc=0.2426, te_err=2060.0000 
Epoch:0004, t_cost=2.099469423, t_acc=0.2739, t_err=10891.0002, v_cost=2.098082542, v_acc=0.2870, v_err=713.0000, te_acc=0.2846, te_err=1946.0000 
Epoch:0005, t_cost=1.963356733, t_acc=0.2993, t_err=10510.0000, v_cost=1.975232959, v_acc=0.2960, v_err=704.0000, te_acc=0.3044, te_err=1892.0000 
Epoch:0006, t_cost=1.854145527, t_acc=0.3368, t_err=9947.9999, v_cost=1.868398309, v_acc=0.3180, v_err=682.0000, te_acc=0.3445, te_err=1783.0000 
Epoch:0007, t_cost=1.747184873, t_acc=0.3791, t_err=9312.9998, v_cost=1.761135221, v_acc=0.3700, v_err=630.0000, te_acc=0.3710, te_err=1711.0000 
Epoch:0008, t_cost=1.661830187, t_acc=0.4194, t_err=8708.9999, v_cost=1.675762296, v_acc=0.4020, v_err=598.0000, te_acc=0.4176, te_err=1584.0000 
Epoch:0009, t_cost=1.575516939, t_acc=0.4593, t_err=8111.0001, v_cost=1.568268061, v_acc=0.4470, v_err=553.0000, te_acc=0.4430, te_err=1515.0000 
Epoch:0010, t_cost=1.504959106, t_acc=0.4821, t_err=7768.0001, v_cost=1.504155755, v_acc=0.4940, v_err=506.0000, te_acc=0.4787, te_err=1418.0000 
Epoch:0011, t_cost=1.437790632, t_acc=0.5040, t_err=7439.9999, v_cost=1.414766669, v_acc=0.5120, v_err=488.0000, te_acc=0.5081, te_err=1338.0000 
Epoch:0012, t_cost=1.374946833, t_acc=0.5325, t_err=7013.0002, v_cost=1.343642592, v_acc=0.5310, v_err=469.0000, te_acc=0.5265, te_err=1288.0000 
Epoch:0013, t_cost=1.326529980, t_acc=0.5473, t_err=6791.0001, v_cost=1.292507648, v_acc=0.5830, v_err=417.0000, te_acc=0.5246, te_err=1293.0000 
Epoch:0014, t_cost=1.279560685, t_acc=0.5693, t_err=6460.0003, v_cost=1.250706077, v_acc=0.5750, v_err=425.0000, te_acc=0.5787, te_err=1146.0000 
Epoch:0015, t_cost=1.241428018, t_acc=0.5721, t_err=6419.0000, v_cost=1.235323787, v_acc=0.5680, v_err=432.0000, te_acc=0.5750, te_err=1156.0000 
Epoch:0016, t_cost=1.202651262, t_acc=0.5920, t_err=6119.9999, v_cost=1.174721003, v_acc=0.6110, v_err=389.0000, te_acc=0.5978, te_err=1094.0000 
Epoch:0017, t_cost=1.187128901, t_acc=0.5975, t_err=6038.0003, v_cost=1.153058290, v_acc=0.6150, v_err=385.0000, te_acc=0.6051, te_err=1074.0000 
Epoch:0018, t_cost=1.148690462, t_acc=0.6118, t_err=5822.9998, v_cost=1.124873281, v_acc=0.6080, v_err=392.0000, te_acc=0.6121, te_err=1055.0000 
Epoch:0019, t_cost=1.123771667, t_acc=0.6235, t_err=5647.9999, v_cost=1.129338503, v_acc=0.6170, v_err=383.0000, te_acc=0.6298, te_err=1007.0000 
Epoch:0020, t_cost=1.099633098, t_acc=0.6333, t_err=5500.9997, v_cost=1.079478741, v_acc=0.6150, v_err=385.0000, te_acc=0.6342, te_err=995.0001 
Epoch:0021, t_cost=1.079439878, t_acc=0.6364, t_err=5454.0002, v_cost=1.064621210, v_acc=0.6510, v_err=349.0000, te_acc=0.6456, te_err=964.0000 
Epoch:0022, t_cost=1.051660419, t_acc=0.6531, t_err=5203.9996, v_cost=1.031114101, v_acc=0.6580, v_err=342.0000, te_acc=0.6390, te_err=981.9999 
Epoch:0023, t_cost=1.042651415, t_acc=0.6471, t_err=5294.0002, v_cost=1.012893438, v_acc=0.6790, v_err=321.0000, te_acc=0.6548, te_err=938.9999 
Epoch:0024, t_cost=1.023129463, t_acc=0.6561, t_err=5159.0002, v_cost=1.009989738, v_acc=0.6480, v_err=352.0000, te_acc=0.6533, te_err=943.0000 
Epoch:0025, t_cost=1.002556920, t_acc=0.6635, t_err=5047.9996, v_cost=0.991622031, v_acc=0.6700, v_err=330.0000, te_acc=0.6654, te_err=910.0001 
Epoch:0026, t_cost=0.981137872, t_acc=0.6770, t_err=4845.0002, v_cost=0.960791886, v_acc=0.6730, v_err=327.0000, te_acc=0.6669, te_err=906.0000 
Epoch:0027, t_cost=0.967559695, t_acc=0.6808, t_err=4787.9997, v_cost=0.983874798, v_acc=0.6530, v_err=347.0000, te_acc=0.6629, te_err=917.0000 
Epoch:0028, t_cost=0.951097727, t_acc=0.6867, t_err=4699.0004, v_cost=0.933200538, v_acc=0.7050, v_err=295.0000, te_acc=0.6665, te_err=906.9999 
Epoch:0029, t_cost=0.944486201, t_acc=0.6867, t_err=4699.0004, v_cost=0.922168851, v_acc=0.6930, v_err=307.0000, te_acc=0.6809, te_err=868.0000 
Epoch:0030, t_cost=0.937688231, t_acc=0.6901, t_err=4648.9996, v_cost=0.931324124, v_acc=0.6940, v_err=306.0000, te_acc=0.6860, te_err=853.9999 
Epoch:0031, t_cost=0.920952380, t_acc=0.6976, t_err=4535.9999, v_cost=0.923271358, v_acc=0.6950, v_err=305.0000, te_acc=0.6956, te_err=828.0000 
Epoch:0032, t_cost=0.905391932, t_acc=0.7027, t_err=4460.0004, v_cost=0.910933852, v_acc=0.6980, v_err=302.0000, te_acc=0.6982, te_err=821.0000 
Epoch:0033, t_cost=0.901478887, t_acc=0.7114, t_err=4329.0004, v_cost=0.852694571, v_acc=0.7280, v_err=272.0000, te_acc=0.7066, te_err=798.0000 
Epoch:0034, t_cost=0.884031534, t_acc=0.7143, t_err=4286.0001, v_cost=0.866431594, v_acc=0.7150, v_err=285.0000, te_acc=0.6945, te_err=831.0000 
Epoch:0035, t_cost=0.871799469, t_acc=0.7181, t_err=4228.0000, v_cost=0.860007167, v_acc=0.7110, v_err=289.0000, te_acc=0.6971, te_err=824.0001 
Epoch:0036, t_cost=0.864207208, t_acc=0.7177, t_err=4234.9997, v_cost=0.844879150, v_acc=0.7280, v_err=272.0000, te_acc=0.7283, te_err=739.0001 
Epoch:0037, t_cost=0.851193190, t_acc=0.7259, t_err=4111.9999, v_cost=0.876837015, v_acc=0.7010, v_err=299.0000, te_acc=0.7180, te_err=767.0000 
Epoch:0038, t_cost=0.836444795, t_acc=0.7349, t_err=3976.9998, v_cost=0.819579601, v_acc=0.7250, v_err=275.0000, te_acc=0.7327, te_err=726.9999 
Epoch:0039, t_cost=0.839640677, t_acc=0.7364, t_err=3953.9999, v_cost=0.814347863, v_acc=0.7370, v_err=263.0000, te_acc=0.7261, te_err=745.0000 
Epoch:0040, t_cost=0.838347435, t_acc=0.7329, t_err=4005.9999, v_cost=0.801699221, v_acc=0.7390, v_err=261.0000, te_acc=0.7188, te_err=765.0000 
Epoch:0041, t_cost=0.818677068, t_acc=0.7383, t_err=3926.0003, v_cost=0.793528736, v_acc=0.7470, v_err=253.0000, te_acc=0.7298, te_err=735.0000 
Epoch:0042, t_cost=0.808127999, t_acc=0.7466, t_err=3801.0004, v_cost=0.798928678, v_acc=0.7430, v_err=257.0000, te_acc=0.7404, te_err=705.9999 
Epoch:0043, t_cost=0.802107692, t_acc=0.7508, t_err=3737.9998, v_cost=0.777390003, v_acc=0.7380, v_err=262.0000, te_acc=0.7426, te_err=700.0000 
Epoch:0044, t_cost=0.806633115, t_acc=0.7445, t_err=3831.9996, v_cost=0.776024520, v_acc=0.7590, v_err=241.0000, te_acc=0.7496, te_err=681.0000 
Epoch:0045, t_cost=0.789543688, t_acc=0.7561, t_err=3658.0002, v_cost=0.794847786, v_acc=0.7400, v_err=260.0000, te_acc=0.7504, te_err=679.0000 
Epoch:0046, t_cost=0.784111440, t_acc=0.7572, t_err=3642.0000, v_cost=0.759489000, v_acc=0.7650, v_err=235.0000, te_acc=0.7551, te_err=666.0001 
Epoch:0047, t_cost=0.770717561, t_acc=0.7649, t_err=3527.0002, v_cost=0.786046982, v_acc=0.7610, v_err=239.0000, te_acc=0.7500, te_err=680.0000 
Epoch:0048, t_cost=0.761494815, t_acc=0.7709, t_err=3436.0000, v_cost=0.736560524, v_acc=0.7850, v_err=215.0000, te_acc=0.7629, te_err=645.0000 
Epoch:0049, t_cost=0.759985566, t_acc=0.7678, t_err=3483.0004, v_cost=0.739960194, v_acc=0.7800, v_err=220.0000, te_acc=0.7632, te_err=644.0001 
Epoch:0050, t_cost=0.749208570, t_acc=0.7699, t_err=3450.9999, v_cost=0.752746344, v_acc=0.7700, v_err=230.0000, te_acc=0.7779, te_err=604.0000 
Epoch:0051, t_cost=0.744586706, t_acc=0.7769, t_err=3346.0003, v_cost=0.712916911, v_acc=0.7900, v_err=210.0000, te_acc=0.7820, te_err=593.0000 
Epoch:0052, t_cost=0.733651578, t_acc=0.7788, t_err=3317.9998, v_cost=0.716782451, v_acc=0.7790, v_err=221.0000, te_acc=0.7710, te_err=623.0001 
Epoch:0053, t_cost=0.727175057, t_acc=0.7839, t_err=3242.0003, v_cost=0.723753810, v_acc=0.7770, v_err=223.0000, te_acc=0.7871, te_err=578.9999 
Epoch:0054, t_cost=0.715574205, t_acc=0.7838, t_err=3242.9999, v_cost=0.695040524, v_acc=0.7940, v_err=206.0000, te_acc=0.7761, te_err=608.9999 
Epoch:0055, t_cost=0.714947283, t_acc=0.7862, t_err=3207.0002, v_cost=0.699539304, v_acc=0.8040, v_err=196.0000, te_acc=0.7787, te_err=602.0001 
Epoch:0056, t_cost=0.705348194, t_acc=0.7933, t_err=3101.0002, v_cost=0.705756009, v_acc=0.7900, v_err=210.0000, te_acc=0.7857, te_err=583.0000 
Epoch:0057, t_cost=0.699798465, t_acc=0.7946, t_err=3080.9999, v_cost=0.692669511, v_acc=0.7990, v_err=201.0000, te_acc=0.7801, te_err=598.0000 
Epoch:0058, t_cost=0.699618995, t_acc=0.7953, t_err=3070.9997, v_cost=0.689556420, v_acc=0.7990, v_err=201.0000, te_acc=0.7893, te_err=573.0000 
Epoch:0059, t_cost=0.689708591, t_acc=0.7949, t_err=3076.0002, v_cost=0.661926866, v_acc=0.8090, v_err=191.0000, te_acc=0.7901, te_err=571.0000 
Epoch:0060, t_cost=0.683553338, t_acc=0.8045, t_err=2933.0000, v_cost=0.682119906, v_acc=0.8000, v_err=200.0000, te_acc=0.7897, te_err=572.0000 
Epoch:0061, t_cost=0.684379816, t_acc=0.8013, t_err=2980.0004, v_cost=0.646731138, v_acc=0.8140, v_err=186.0000, te_acc=0.7853, te_err=584.0000 
Epoch:0062, t_cost=0.669406891, t_acc=0.8099, t_err=2851.0004, v_cost=0.687002540, v_acc=0.8050, v_err=195.0000, te_acc=0.7937, te_err=561.0000 
Epoch:0063, t_cost=0.664520264, t_acc=0.8097, t_err=2854.9996, v_cost=0.653190851, v_acc=0.8110, v_err=189.0000, te_acc=0.8004, te_err=543.0000 
Epoch:0064, t_cost=0.660453320, t_acc=0.8084, t_err=2874.0004, v_cost=0.661208987, v_acc=0.8040, v_err=196.0000, te_acc=0.8015, te_err=540.0000 
Epoch:0065, t_cost=0.661202967, t_acc=0.8111, t_err=2833.0001, v_cost=0.628113389, v_acc=0.8290, v_err=171.0000, te_acc=0.7974, te_err=551.0000 
Epoch:0066, t_cost=0.644782662, t_acc=0.8146, t_err=2781.0001, v_cost=0.632553339, v_acc=0.8340, v_err=166.0000, te_acc=0.8099, te_err=517.0001 
Epoch:0067, t_cost=0.644968987, t_acc=0.8191, t_err=2712.9999, v_cost=0.642157018, v_acc=0.8200, v_err=180.0000, te_acc=0.8055, te_err=529.0000 
Epoch:0068, t_cost=0.649182320, t_acc=0.8148, t_err=2777.9996, v_cost=0.623306990, v_acc=0.8260, v_err=174.0000, te_acc=0.8088, te_err=520.0000 
Epoch:0069, t_cost=0.631543040, t_acc=0.8206, t_err=2691.0004, v_cost=0.630267024, v_acc=0.8260, v_err=174.0000, te_acc=0.8059, te_err=528.0000 
Epoch:0070, t_cost=0.638136446, t_acc=0.8193, t_err=2710.0003, v_cost=0.625504494, v_acc=0.8310, v_err=169.0000, te_acc=0.8129, te_err=509.0000 
Epoch:0071, t_cost=0.629206240, t_acc=0.8194, t_err=2708.9998, v_cost=0.644587994, v_acc=0.8280, v_err=172.0000, te_acc=0.8088, te_err=520.0000 
Epoch:0072, t_cost=0.619892836, t_acc=0.8239, t_err=2642.0000, v_cost=0.607029200, v_acc=0.8230, v_err=177.0000, te_acc=0.8154, te_err=502.0000 
Epoch:0073, t_cost=0.619236887, t_acc=0.8245, t_err=2633.0003, v_cost=0.635268211, v_acc=0.8190, v_err=181.0000, te_acc=0.8103, te_err=516.0001 
Epoch:0074, t_cost=0.621205449, t_acc=0.8209, t_err=2685.9999, v_cost=0.633885384, v_acc=0.8120, v_err=188.0000, te_acc=0.8158, te_err=501.0000 
Epoch:0075, t_cost=0.613024354, t_acc=0.8272, t_err=2592.0001, v_cost=0.616295636, v_acc=0.8290, v_err=171.0000, te_acc=0.8107, te_err=514.9999 
Epoch:0076, t_cost=0.607496500, t_acc=0.8293, t_err=2561.0000, v_cost=0.630681694, v_acc=0.8160, v_err=184.0000, te_acc=0.8195, te_err=491.0000 
Epoch:0077, t_cost=0.608047009, t_acc=0.8299, t_err=2552.0003, v_cost=0.621306539, v_acc=0.8220, v_err=178.0000, te_acc=0.8210, te_err=487.0000 
Epoch:0078, t_cost=0.595673501, t_acc=0.8313, t_err=2531.0004, v_cost=0.600107908, v_acc=0.8320, v_err=168.0000, te_acc=0.8118, te_err=512.0000 
Epoch:0079, t_cost=0.598811328, t_acc=0.8328, t_err=2508.0004, v_cost=0.572013199, v_acc=0.8490, v_err=151.0000, te_acc=0.8221, te_err=484.0001 
Epoch:0080, t_cost=0.596542537, t_acc=0.8306, t_err=2540.9997, v_cost=0.576977193, v_acc=0.8310, v_err=169.0000, te_acc=0.8294, te_err=464.0001 
Epoch:0081, t_cost=0.587818682, t_acc=0.8349, t_err=2475.9999, v_cost=0.577534258, v_acc=0.8400, v_err=160.0000, te_acc=0.8254, te_err=475.0000 
