Starting experiment with number of hidden units 100 and learning_rate 0.01
Epoch:0001, t_cost=22967.859375000, t_acc=0.4371, t_err=8443.9999, v_cost=1582.084472656, v_acc=0.4160, v_err=584.0000, te_acc=0.4221, te_err=1572.0000 
Epoch:0006, t_cost=11319.641601562, t_acc=0.7509, t_err=3735.9998, v_cost=821.540161133, v_acc=0.7360, v_err=264.0000, te_acc=0.7279, te_err=740.0001 
Epoch:0011, t_cost=10085.298828125, t_acc=0.7643, t_err=3536.0000, v_cost=733.665222168, v_acc=0.7400, v_err=260.0000, te_acc=0.7349, te_err=721.0000 
Epoch:0016, t_cost=9075.296875000, t_acc=0.7840, t_err=3240.0003, v_cost=674.614318848, v_acc=0.7590, v_err=241.0000, te_acc=0.7430, te_err=699.0000 
Epoch:0021, t_cost=7615.424804688, t_acc=0.8525, t_err=2213.0004, v_cost=601.128295898, v_acc=0.8290, v_err=171.0000, te_acc=0.8158, te_err=501.0000 
Epoch:0026, t_cost=6573.481445312, t_acc=0.8719, t_err=1920.9999, v_cost=546.762390137, v_acc=0.8440, v_err=156.0000, te_acc=0.8342, te_err=450.9999 
Epoch:0031, t_cost=6434.055175781, t_acc=0.8752, t_err=1872.0004, v_cost=569.347290039, v_acc=0.8460, v_err=154.0000, te_acc=0.8335, te_err=453.0001 
Epoch:0036, t_cost=6011.892089844, t_acc=0.8833, t_err=1750.0001, v_cost=554.904541016, v_acc=0.8480, v_err=152.0000, te_acc=0.8375, te_err=442.0001 
Epoch:0041, t_cost=5773.523925781, t_acc=0.8881, t_err=1679.0003, v_cost=547.659118652, v_acc=0.8500, v_err=150.0000, te_acc=0.8434, te_err=426.0000 
Epoch:0046, t_cost=5590.633789062, t_acc=0.8893, t_err=1661.0000, v_cost=535.959167480, v_acc=0.8530, v_err=147.0000, te_acc=0.8423, te_err=428.9999 
Epoch:0051, t_cost=5480.964843750, t_acc=0.8915, t_err=1627.9998, v_cost=536.597839355, v_acc=0.8560, v_err=144.0000, te_acc=0.8404, te_err=434.0000 
Epoch:0056, t_cost=5343.858886719, t_acc=0.8941, t_err=1588.9996, v_cost=530.545654297, v_acc=0.8560, v_err=144.0000, te_acc=0.8419, te_err=429.9999 
Epoch:0061, t_cost=5233.712890625, t_acc=0.8954, t_err=1569.0002, v_cost=530.058105469, v_acc=0.8570, v_err=143.0000, te_acc=0.8401, te_err=435.0000 
Epoch:0066, t_cost=5112.655761719, t_acc=0.8975, t_err=1538.0001, v_cost=527.405700684, v_acc=0.8570, v_err=143.0000, te_acc=0.8426, te_err=428.0000 
Epoch:0071, t_cost=5046.170410156, t_acc=0.8989, t_err=1517.0002, v_cost=531.675659180, v_acc=0.8550, v_err=145.0000, te_acc=0.8401, te_err=435.0000 
Epoch:0076, t_cost=4935.279785156, t_acc=0.9001, t_err=1498.0003, v_cost=526.416625977, v_acc=0.8550, v_err=145.0000, te_acc=0.8404, te_err=434.0000 
Epoch:0081, t_cost=6800.790527344, t_acc=0.8655, t_err=2016.9997, v_cost=650.575683594, v_acc=0.8130, v_err=187.0000, te_acc=0.8158, te_err=501.0000 
Epoch:0086, t_cost=5567.120117188, t_acc=0.8921, t_err=1617.9997, v_cost=569.016723633, v_acc=0.8520, v_err=148.0000, te_acc=0.8368, te_err=444.0000 
Epoch:0091, t_cost=5457.571777344, t_acc=0.8952, t_err=1571.9998, v_cost=579.868164062, v_acc=0.8530, v_err=147.0000, te_acc=0.8397, te_err=436.0000 
Epoch:0096, t_cost=5334.547363281, t_acc=0.8965, t_err=1552.9999, v_cost=577.057495117, v_acc=0.8500, v_err=150.0000, te_acc=0.8390, te_err=438.0000 
Epoch:0101, t_cost=5175.431640625, t_acc=0.8992, t_err=1511.9997, v_cost=567.096679688, v_acc=0.8540, v_err=146.0000, te_acc=0.8415, te_err=431.0001 
Epoch:0106, t_cost=5055.596191406, t_acc=0.9007, t_err=1488.9997, v_cost=558.454040527, v_acc=0.8580, v_err=142.0000, te_acc=0.8423, te_err=428.9999 
Epoch:0111, t_cost=4688.033203125, t_acc=0.9195, t_err=1207.9999, v_cost=542.564208984, v_acc=0.8860, v_err=114.0000, te_acc=0.8614, te_err=376.9999 
Epoch:0116, t_cost=4338.280273438, t_acc=0.9267, t_err=1099.0003, v_cost=514.560913086, v_acc=0.8920, v_err=108.0000, te_acc=0.8684, te_err=358.0000 
Epoch:0121, t_cost=4020.102294922, t_acc=0.9337, t_err=993.9998, v_cost=504.829620361, v_acc=0.8960, v_err=104.0000, te_acc=0.8717, te_err=349.0000 
Epoch:0126, t_cost=4088.223144531, t_acc=0.9317, t_err=1024.9999, v_cost=508.215667725, v_acc=0.8930, v_err=107.0000, te_acc=0.8706, te_err=352.0000 
Epoch:0131, t_cost=4023.375976562, t_acc=0.9347, t_err=979.9996, v_cost=499.337158203, v_acc=0.8920, v_err=108.0000, te_acc=0.8713, te_err=350.0000 
Epoch:0136, t_cost=3939.048095703, t_acc=0.9355, t_err=968.0003, v_cost=499.902893066, v_acc=0.8920, v_err=108.0000, te_acc=0.8724, te_err=347.0001 
Epoch:0141, t_cost=3803.409667969, t_acc=0.9369, t_err=945.9999, v_cost=494.000946045, v_acc=0.8970, v_err=103.0000, te_acc=0.8746, te_err=341.0000 
Epoch:0146, t_cost=3709.564941406, t_acc=0.9377, t_err=933.9997, v_cost=499.957397461, v_acc=0.8930, v_err=107.0000, te_acc=0.8757, te_err=338.0000 
Epoch:0151, t_cost=3709.769531250, t_acc=0.9386, t_err=920.9999, v_cost=504.728912354, v_acc=0.8970, v_err=103.0000, te_acc=0.8779, te_err=332.0000 
Epoch:0156, t_cost=3592.562744141, t_acc=0.9400, t_err=900.0000, v_cost=492.031341553, v_acc=0.8970, v_err=103.0000, te_acc=0.8779, te_err=332.0000 
Epoch:0161, t_cost=3571.047363281, t_acc=0.9409, t_err=885.9998, v_cost=498.597015381, v_acc=0.8980, v_err=102.0000, te_acc=0.8794, te_err=328.0000 
Epoch:0166, t_cost=3605.139160156, t_acc=0.9417, t_err=873.9996, v_cost=513.723388672, v_acc=0.9000, v_err=100.0000, te_acc=0.8787, te_err=330.0000 
Epoch:0171, t_cost=3529.955078125, t_acc=0.9407, t_err=889.0003, v_cost=510.549316406, v_acc=0.8960, v_err=104.0000, te_acc=0.8798, te_err=327.0000 
Epoch:0176, t_cost=3480.542968750, t_acc=0.9437, t_err=845.0004, v_cost=509.426116943, v_acc=0.8990, v_err=101.0000, te_acc=0.8809, te_err=323.9999 
Epoch:0181, t_cost=3498.286376953, t_acc=0.9421, t_err=869.0000, v_cost=509.045867920, v_acc=0.8970, v_err=103.0000, te_acc=0.8790, te_err=329.0000 
Epoch:0186, t_cost=3438.687255859, t_acc=0.9429, t_err=856.0002, v_cost=504.122436523, v_acc=0.9000, v_err=100.0000, te_acc=0.8801, te_err=326.0001 
Epoch:0191, t_cost=3368.117675781, t_acc=0.9443, t_err=835.0003, v_cost=499.431457520, v_acc=0.8980, v_err=102.0000, te_acc=0.8794, te_err=328.0000 
Epoch:0196, t_cost=3358.253417969, t_acc=0.9438, t_err=843.0004, v_cost=503.178680420, v_acc=0.9000, v_err=100.0000, te_acc=0.8794, te_err=328.0000 
Epoch:0201, t_cost=3199.975585938, t_acc=0.9455, t_err=818.0004, v_cost=490.167907715, v_acc=0.8960, v_err=104.0000, te_acc=0.8787, te_err=330.0000 
Epoch:0206, t_cost=3213.847167969, t_acc=0.9456, t_err=816.0004, v_cost=496.204345703, v_acc=0.8950, v_err=105.0000, te_acc=0.8779, te_err=332.0000 
Epoch:0211, t_cost=3132.510253906, t_acc=0.9463, t_err=804.9998, v_cost=489.918029785, v_acc=0.8950, v_err=105.0000, te_acc=0.8790, te_err=329.0000 
Epoch:0216, t_cost=3112.246582031, t_acc=0.9455, t_err=818.0004, v_cost=498.461608887, v_acc=0.8950, v_err=105.0000, te_acc=0.8794, te_err=328.0000 
Epoch:0221, t_cost=3089.725097656, t_acc=0.9454, t_err=819.0000, v_cost=507.017669678, v_acc=0.8950, v_err=105.0000, te_acc=0.8790, te_err=329.0000 
Epoch:0226, t_cost=2961.190917969, t_acc=0.9487, t_err=769.0001, v_cost=489.243713379, v_acc=0.8940, v_err=106.0000, te_acc=0.8801, te_err=326.0001 
Epoch:0231, t_cost=3037.772705078, t_acc=0.9464, t_err=804.0002, v_cost=503.094329834, v_acc=0.8940, v_err=106.0000, te_acc=0.8787, te_err=330.0000 
Epoch:0236, t_cost=2875.720458984, t_acc=0.9503, t_err=746.0001, v_cost=509.606048584, v_acc=0.8950, v_err=105.0000, te_acc=0.8805, te_err=325.0001 
Epoch:0241, t_cost=2919.164550781, t_acc=0.9489, t_err=767.0000, v_cost=501.390136719, v_acc=0.8930, v_err=107.0000, te_acc=0.8783, te_err=331.0000 
Epoch:0246, t_cost=2870.290527344, t_acc=0.9496, t_err=756.0003, v_cost=497.929748535, v_acc=0.8920, v_err=108.0000, te_acc=0.8790, te_err=329.0000 
Epoch:0251, t_cost=2919.523681641, t_acc=0.9487, t_err=769.0001, v_cost=508.445098877, v_acc=0.8930, v_err=107.0000, te_acc=0.8787, te_err=330.0000 
Epoch:0256, t_cost=2879.283691406, t_acc=0.9493, t_err=760.0003, v_cost=521.157226562, v_acc=0.8900, v_err=110.0000, te_acc=0.8772, te_err=333.9999 
Epoch:0261, t_cost=2833.268798828, t_acc=0.9504, t_err=744.0001, v_cost=510.059509277, v_acc=0.8930, v_err=107.0000, te_acc=0.8779, te_err=332.0000 
Epoch:0266, t_cost=2808.506347656, t_acc=0.9500, t_err=750.0002, v_cost=509.604095459, v_acc=0.8960, v_err=104.0000, te_acc=0.8776, te_err=332.9999 
Epoch:0271, t_cost=2819.410400391, t_acc=0.9501, t_err=748.9997, v_cost=514.970764160, v_acc=0.8960, v_err=104.0000, te_acc=0.8746, te_err=341.0000 
Epoch:0276, t_cost=2783.545410156, t_acc=0.9506, t_err=740.9996, v_cost=512.271301270, v_acc=0.8930, v_err=107.0000, te_acc=0.8772, te_err=333.9999 
Epoch:0281, t_cost=2772.391601562, t_acc=0.9509, t_err=735.9999, v_cost=515.871948242, v_acc=0.8960, v_err=104.0000, te_acc=0.8765, te_err=336.0001 
Epoch:0286, t_cost=2721.291503906, t_acc=0.9518, t_err=723.0002, v_cost=513.572998047, v_acc=0.8930, v_err=107.0000, te_acc=0.8790, te_err=329.0000 
Epoch:0291, t_cost=2680.811767578, t_acc=0.9519, t_err=721.0001, v_cost=513.640625000, v_acc=0.8940, v_err=106.0000, te_acc=0.8787, te_err=330.0000 
Epoch:0296, t_cost=2672.570068359, t_acc=0.9521, t_err=719.0001, v_cost=517.295043945, v_acc=0.8960, v_err=104.0000, te_acc=0.8794, te_err=328.0000 
