Starting experiment with learning rate 0.001
Epoch:0001, t_cost=207217.656250000, t_acc=0.8299, t_err=2552.0003, v_cost=17055.275390625, v_acc=0.8080, v_err=192.0000, te_acc=0.8110, te_err=513.9999 
Epoch:0011, t_cost=11261.329101562, t_acc=0.8546, t_err=2180.9998, v_cost=1158.046875000, v_acc=0.8240, v_err=176.0000, te_acc=0.8199, te_err=490.0000 
Epoch:0021, t_cost=9229.235351562, t_acc=0.8660, t_err=2010.0001, v_cost=931.184387207, v_acc=0.8370, v_err=163.0000, te_acc=0.8279, te_err=468.0000 
Epoch:0031, t_cost=8077.596191406, t_acc=0.8740, t_err=1889.9998, v_cost=1047.366455078, v_acc=0.8280, v_err=172.0000, te_acc=0.8452, te_err=421.0001 
Epoch:0041, t_cost=7552.060058594, t_acc=0.8806, t_err=1791.0004, v_cost=807.305236816, v_acc=0.8560, v_err=144.0000, te_acc=0.8316, te_err=458.0000 
Epoch:0051, t_cost=6937.893066406, t_acc=0.8868, t_err=1698.0001, v_cost=814.498718262, v_acc=0.8410, v_err=159.0000, te_acc=0.8426, te_err=428.0000 
Epoch:0061, t_cost=6509.963867188, t_acc=0.8889, t_err=1667.0001, v_cost=788.644409180, v_acc=0.8520, v_err=148.0000, te_acc=0.8415, te_err=431.0001 
Epoch:0071, t_cost=6517.854003906, t_acc=0.8862, t_err=1706.9998, v_cost=825.470092773, v_acc=0.8510, v_err=149.0000, te_acc=0.8419, te_err=429.9999 
Epoch:0081, t_cost=5983.946777344, t_acc=0.8951, t_err=1573.9998, v_cost=720.896545410, v_acc=0.8750, v_err=125.0000, te_acc=0.8566, te_err=390.0000 
Epoch:0091, t_cost=5857.728027344, t_acc=0.8965, t_err=1552.0003, v_cost=732.913574219, v_acc=0.8740, v_err=126.0000, te_acc=0.8493, te_err=410.0001 
Epoch:0101, t_cost=5426.201660156, t_acc=0.9006, t_err=1490.9998, v_cost=727.063659668, v_acc=0.8640, v_err=136.0000, te_acc=0.8522, te_err=402.0000 
Epoch:0111, t_cost=5286.300781250, t_acc=0.9041, t_err=1438.0002, v_cost=678.356506348, v_acc=0.8580, v_err=142.0000, te_acc=0.8522, te_err=402.0000 
Epoch:0121, t_cost=4798.156738281, t_acc=0.9129, t_err=1305.9998, v_cost=676.921020508, v_acc=0.8620, v_err=138.0000, te_acc=0.8629, te_err=373.0000 
