Starting experiment with learning rate 0.01 and momentum 0.1
Epoch:0010, t_cost=1.062271476, t_acc=0.8473, t_err=2290.9999, v_cost=1.221668243, v_acc=0.8290, v_err=171.0000, te_acc=0.8276, te_err=469.0000 
Epoch:0020, t_cost=0.836098552, t_acc=0.8646, t_err=2031.0000, v_cost=1.023083806, v_acc=0.8410, v_err=159.0000, te_acc=0.8408, te_err=433.0000 
Epoch:0030, t_cost=0.718058825, t_acc=0.8717, t_err=1924.0004, v_cost=0.932756364, v_acc=0.8510, v_err=149.0000, te_acc=0.8493, te_err=410.0001 
Epoch:0040, t_cost=0.639779806, t_acc=0.8784, t_err=1823.9996, v_cost=0.876430809, v_acc=0.8590, v_err=141.0000, te_acc=0.8533, te_err=399.0001 
Epoch:0050, t_cost=0.582745492, t_acc=0.8845, t_err=1733.0003, v_cost=0.835972250, v_acc=0.8600, v_err=140.0000, te_acc=0.8562, te_err=391.0000 
Epoch:0060, t_cost=0.538844764, t_acc=0.8880, t_err=1679.9998, v_cost=0.804860711, v_acc=0.8620, v_err=138.0000, te_acc=0.8577, te_err=386.9999 
Epoch:0070, t_cost=0.503715456, t_acc=0.8923, t_err=1615.0001, v_cost=0.779973030, v_acc=0.8560, v_err=144.0000, te_acc=0.8570, te_err=389.0001 
Epoch:0080, t_cost=0.474829495, t_acc=0.8955, t_err=1567.0002, v_cost=0.759634852, v_acc=0.8560, v_err=144.0000, te_acc=0.8566, te_err=390.0000 
Epoch:0090, t_cost=0.450584441, t_acc=0.8987, t_err=1519.0002, v_cost=0.742815018, v_acc=0.8600, v_err=140.0000, te_acc=0.8562, te_err=391.0000 
Epoch:0100, t_cost=0.429901034, t_acc=0.9018, t_err=1473.0003, v_cost=0.728831828, v_acc=0.8590, v_err=141.0000, te_acc=0.8599, te_err=381.0000 
Epoch:0110, t_cost=0.412021548, t_acc=0.9049, t_err=1426.9996, v_cost=0.717182755, v_acc=0.8590, v_err=141.0000, te_acc=0.8596, te_err=382.0000 
Epoch:0120, t_cost=0.396388352, t_acc=0.9074, t_err=1388.9998, v_cost=0.707461059, v_acc=0.8600, v_err=140.0000, te_acc=0.8581, te_err=385.9999 
Epoch:0130, t_cost=0.382580638, t_acc=0.9099, t_err=1351.9996, v_cost=0.699335337, v_acc=0.8610, v_err=139.0000, te_acc=0.8559, te_err=392.0000 
Epoch:0140, t_cost=0.370281339, t_acc=0.9117, t_err=1324.0001, v_cost=0.692541003, v_acc=0.8600, v_err=140.0000, te_acc=0.8570, te_err=389.0001 
Epoch:0150, t_cost=0.359247595, t_acc=0.9142, t_err=1286.9999, v_cost=0.686864257, v_acc=0.8640, v_err=136.0000, te_acc=0.8570, te_err=389.0001 
Epoch:0160, t_cost=0.349286914, t_acc=0.9157, t_err=1263.9999, v_cost=0.682127297, v_acc=0.8660, v_err=134.0000, te_acc=0.8574, te_err=388.0001 
Epoch:0170, t_cost=0.340245008, t_acc=0.9179, t_err=1230.9998, v_cost=0.678177953, v_acc=0.8640, v_err=136.0000, te_acc=0.8585, te_err=385.0000 
Epoch:0180, t_cost=0.331995368, t_acc=0.9200, t_err=1199.9997, v_cost=0.674886346, v_acc=0.8650, v_err=135.0000, te_acc=0.8588, te_err=384.0000 
Epoch:0190, t_cost=0.324433863, t_acc=0.9212, t_err=1182.0003, v_cost=0.672143042, v_acc=0.8650, v_err=135.0000, te_acc=0.8596, te_err=382.0000 
Epoch:0200, t_cost=0.317472667, t_acc=0.9233, t_err=1149.9998, v_cost=0.669858277, v_acc=0.8630, v_err=137.0000, te_acc=0.8603, te_err=380.0000 
Epoch:0210, t_cost=0.311038017, t_acc=0.9247, t_err=1128.9999, v_cost=0.667959034, v_acc=0.8610, v_err=139.0000, te_acc=0.8599, te_err=381.0000 
Epoch:0220, t_cost=0.305068851, t_acc=0.9259, t_err=1110.9996, v_cost=0.666386843, v_acc=0.8610, v_err=139.0000, te_acc=0.8603, te_err=380.0000 
Epoch:0230, t_cost=0.299511254, t_acc=0.9271, t_err=1093.0002, v_cost=0.665094554, v_acc=0.8630, v_err=137.0000, te_acc=0.8607, te_err=379.0001 
Epoch:0240, t_cost=0.294320375, t_acc=0.9285, t_err=1072.9998, v_cost=0.664041877, v_acc=0.8620, v_err=138.0000, te_acc=0.8614, te_err=376.9999 
Epoch:0250, t_cost=0.289457291, t_acc=0.9295, t_err=1056.9996, v_cost=0.663197041, v_acc=0.8630, v_err=137.0000, te_acc=0.8618, te_err=375.9999 
Epoch:0260, t_cost=0.284889430, t_acc=0.9304, t_err=1043.9998, v_cost=0.662531495, v_acc=0.8630, v_err=137.0000, te_acc=0.8614, te_err=376.9999 
Epoch:0270, t_cost=0.280587405, t_acc=0.9312, t_err=1031.9996, v_cost=0.662022233, v_acc=0.8630, v_err=137.0000, te_acc=0.8610, te_err=378.0001 
Epoch:0280, t_cost=0.276526958, t_acc=0.9323, t_err=1016.0002, v_cost=0.661648571, v_acc=0.8640, v_err=136.0000, te_acc=0.8610, te_err=378.0001 
Epoch:0290, t_cost=0.272685558, t_acc=0.9334, t_err=999.0004, v_cost=0.661393762, v_acc=0.8650, v_err=135.0000, te_acc=0.8618, te_err=375.9999 
Epoch:0300, t_cost=0.269045413, t_acc=0.9342, t_err=987.0002, v_cost=0.661243141, v_acc=0.8660, v_err=134.0000, te_acc=0.8625, te_err=374.0000 
Epoch:0310, t_cost=0.265589058, t_acc=0.9347, t_err=979.0000, v_cost=0.661184549, v_acc=0.8660, v_err=134.0000, te_acc=0.8625, te_err=374.0000 
Epoch:0320, t_cost=0.262302279, t_acc=0.9353, t_err=970.9999, v_cost=0.661207139, v_acc=0.8660, v_err=134.0000, te_acc=0.8621, te_err=375.0000 
Epoch:0330, t_cost=0.259171724, t_acc=0.9360, t_err=960.0002, v_cost=0.661302745, v_acc=0.8660, v_err=134.0000, te_acc=0.8625, te_err=374.0000 
Epoch:0340, t_cost=0.256185919, t_acc=0.9369, t_err=945.9999, v_cost=0.661462903, v_acc=0.8660, v_err=134.0000, te_acc=0.8621, te_err=375.0000 
Epoch:0350, t_cost=0.253334671, t_acc=0.9370, t_err=945.0004, v_cost=0.661681473, v_acc=0.8640, v_err=136.0000, te_acc=0.8621, te_err=375.0000 
Epoch:0360, t_cost=0.250608534, t_acc=0.9379, t_err=931.0001, v_cost=0.661953092, v_acc=0.8630, v_err=137.0000, te_acc=0.8607, te_err=379.0001 
Epoch:0370, t_cost=0.247998536, t_acc=0.9386, t_err=920.9999, v_cost=0.662273049, v_acc=0.8630, v_err=137.0000, te_acc=0.8607, te_err=379.0001 
Epoch:0380, t_cost=0.245497763, t_acc=0.9391, t_err=914.0003, v_cost=0.662637174, v_acc=0.8650, v_err=135.0000, te_acc=0.8603, te_err=380.0000 
Epoch:0390, t_cost=0.243098825, t_acc=0.9400, t_err=900.0000, v_cost=0.663041770, v_acc=0.8650, v_err=135.0000, te_acc=0.8603, te_err=380.0000 
Epoch:0400, t_cost=0.240795225, t_acc=0.9409, t_err=885.9998, v_cost=0.663484156, v_acc=0.8650, v_err=135.0000, te_acc=0.8618, te_err=375.9999 
Epoch:0410, t_cost=0.238581106, t_acc=0.9416, t_err=875.9996, v_cost=0.663961172, v_acc=0.8650, v_err=135.0000, te_acc=0.8614, te_err=376.9999 
Epoch:0420, t_cost=0.236450821, t_acc=0.9421, t_err=869.0000, v_cost=0.664470553, v_acc=0.8650, v_err=135.0000, te_acc=0.8618, te_err=375.9999 
Epoch:0430, t_cost=0.234400198, t_acc=0.9427, t_err=860.0003, v_cost=0.665010273, v_acc=0.8660, v_err=134.0000, te_acc=0.8618, te_err=375.9999 
Epoch:0440, t_cost=0.232423618, t_acc=0.9433, t_err=850.0001, v_cost=0.665578842, v_acc=0.8650, v_err=135.0000, te_acc=0.8618, te_err=375.9999 
Epoch:0450, t_cost=0.230517551, t_acc=0.9437, t_err=844.0000, v_cost=0.666173935, v_acc=0.8650, v_err=135.0000, te_acc=0.8618, te_err=375.9999 
Epoch:0460, t_cost=0.228677660, t_acc=0.9444, t_err=833.9998, v_cost=0.666794777, v_acc=0.8650, v_err=135.0000, te_acc=0.8621, te_err=375.0000 
