Starting experiment with learning rate 0.01
Epoch:0001, t_cost=15388.221679688, t_acc=0.7134, t_err=4298.9999, v_cost=1120.627075195, v_acc=0.6920, v_err=308.0000, te_acc=0.6772, te_err=878.0001 
Epoch:0011, t_cost=5751.382324219, t_acc=0.8873, t_err=1690.9996, v_cost=549.079895020, v_acc=0.8620, v_err=138.0000, te_acc=0.8548, te_err=395.0000 
Epoch:0021, t_cost=4307.533691406, t_acc=0.9181, t_err=1228.0002, v_cost=424.123229980, v_acc=0.8950, v_err=105.0000, te_acc=0.8757, te_err=338.0000 
Epoch:0031, t_cost=3617.471191406, t_acc=0.9295, t_err=1058.0000, v_cost=400.566040039, v_acc=0.9000, v_err=100.0000, te_acc=0.8824, te_err=320.0000 
Epoch:0041, t_cost=3415.369140625, t_acc=0.9339, t_err=991.0002, v_cost=390.182037354, v_acc=0.8990, v_err=101.0000, te_acc=0.8846, te_err=314.0001 
Epoch:0051, t_cost=3057.697998047, t_acc=0.9407, t_err=889.0003, v_cost=391.924774170, v_acc=0.9010, v_err=99.0000, te_acc=0.8912, te_err=296.0000 
Epoch:0061, t_cost=3005.347167969, t_acc=0.9427, t_err=860.0003, v_cost=386.137695312, v_acc=0.9020, v_err=98.0000, te_acc=0.8849, te_err=312.9999 
Epoch:0071, t_cost=2837.032226562, t_acc=0.9447, t_err=829.0002, v_cost=389.925689697, v_acc=0.9030, v_err=97.0000, te_acc=0.8871, te_err=307.0000 
Epoch:0081, t_cost=2616.326171875, t_acc=0.9489, t_err=767.0000, v_cost=387.953033447, v_acc=0.9040, v_err=96.0000, te_acc=0.8915, te_err=295.0000 
Epoch:0091, t_cost=2405.826660156, t_acc=0.9533, t_err=700.9998, v_cost=374.043182373, v_acc=0.9020, v_err=98.0000, te_acc=0.8919, te_err=294.0001 
Epoch:0101, t_cost=2257.120605469, t_acc=0.9568, t_err=648.0002, v_cost=368.863220215, v_acc=0.9080, v_err=92.0000, te_acc=0.8938, te_err=289.0000 
Epoch:0111, t_cost=2190.968261719, t_acc=0.9569, t_err=646.9998, v_cost=388.740051270, v_acc=0.9070, v_err=93.0000, te_acc=0.8934, te_err=290.0000 
