Starting experiment with learning_rate 0.0001
Epoch:0001, t_cost=703821.000000000, t_acc=0.8711, t_err=1933.0001, v_cost=62098.542968750, v_acc=0.8480, v_err=152.0000, te_acc=0.8261, te_err=473.0001 
Epoch:0006, t_cost=53007.101562500, t_acc=0.9601, t_err=598.0003, v_cost=38704.425781250, v_acc=0.8520, v_err=148.0000, te_acc=0.8559, te_err=392.0000 
Epoch:0011, t_cost=8076.430664062, t_acc=0.9851, t_err=222.9998, v_cost=32332.828125000, v_acc=0.8600, v_err=140.0000, te_acc=0.8599, te_err=381.0000 
Epoch:0016, t_cost=2014.329589844, t_acc=0.9945, t_err=81.9996, v_cost=27362.351562500, v_acc=0.8590, v_err=141.0000, te_acc=0.8599, te_err=381.0000 
Epoch:0021, t_cost=899.697692871, t_acc=0.9977, t_err=33.9997, v_cost=23681.554687500, v_acc=0.8660, v_err=134.0000, te_acc=0.8654, te_err=365.9999 
Epoch:0026, t_cost=521.530517578, t_acc=0.9989, t_err=16.0003, v_cost=19889.816406250, v_acc=0.8610, v_err=139.0000, te_acc=0.8643, te_err=369.0000 
Epoch:0031, t_cost=433.006683350, t_acc=0.9996, t_err=6.0001, v_cost=17220.916015625, v_acc=0.8620, v_err=138.0000, te_acc=0.8651, te_err=367.0001 
Epoch:0036, t_cost=386.236541748, t_acc=0.9997, t_err=4.9996, v_cost=14820.563476562, v_acc=0.8620, v_err=138.0000, te_acc=0.8651, te_err=367.0001 
Epoch:0041, t_cost=347.151397705, t_acc=0.9997, t_err=4.9996, v_cost=12752.898437500, v_acc=0.8620, v_err=138.0000, te_acc=0.8651, te_err=367.0001 
Epoch:0046, t_cost=317.822448730, t_acc=0.9997, t_err=4.9996, v_cost=10971.461914062, v_acc=0.8620, v_err=138.0000, te_acc=0.8647, te_err=368.0001 
Epoch:0051, t_cost=294.075134277, t_acc=0.9997, t_err=4.9996, v_cost=9438.125000000, v_acc=0.8620, v_err=138.0000, te_acc=0.8647, te_err=368.0001 
Epoch:0056, t_cost=274.785888672, t_acc=0.9997, t_err=4.9996, v_cost=8118.003906250, v_acc=0.8620, v_err=138.0000, te_acc=0.8643, te_err=369.0000 
Epoch:0061, t_cost=256.494049072, t_acc=0.9997, t_err=4.9996, v_cost=6979.848144531, v_acc=0.8620, v_err=138.0000, te_acc=0.8654, te_err=365.9999 
Epoch:0066, t_cost=242.653503418, t_acc=0.9997, t_err=4.9996, v_cost=5998.609863281, v_acc=0.8620, v_err=138.0000, te_acc=0.8654, te_err=365.9999 
Epoch:0071, t_cost=225.761932373, t_acc=0.9997, t_err=4.9996, v_cost=5152.162109375, v_acc=0.8610, v_err=139.0000, te_acc=0.8643, te_err=369.0000 
Epoch:0076, t_cost=216.085052490, t_acc=0.9997, t_err=4.9996, v_cost=4426.450195312, v_acc=0.8620, v_err=138.0000, te_acc=0.8640, te_err=370.0000 
Epoch:0081, t_cost=210.192916870, t_acc=0.9996, t_err=6.0001, v_cost=3807.334716797, v_acc=0.8640, v_err=136.0000, te_acc=0.8647, te_err=368.0001 
Epoch:0086, t_cost=206.423370361, t_acc=0.9995, t_err=6.9997, v_cost=3276.955810547, v_acc=0.8640, v_err=136.0000, te_acc=0.8662, te_err=364.0000 
Epoch:0091, t_cost=208.642303467, t_acc=0.9995, t_err=8.0001, v_cost=2820.932861328, v_acc=0.8660, v_err=134.0000, te_acc=0.8662, te_err=364.0000 
Epoch:0096, t_cost=214.490570068, t_acc=0.9993, t_err=10.0002, v_cost=2434.315429688, v_acc=0.8660, v_err=134.0000, te_acc=0.8658, te_err=364.9999 
Epoch:0101, t_cost=211.646240234, t_acc=0.9993, t_err=10.0002, v_cost=2094.545654297, v_acc=0.8680, v_err=132.0000, te_acc=0.8669, te_err=362.0000 
Epoch:0106, t_cost=1088.609863281, t_acc=0.9783, t_err=324.9997, v_cost=1093.468505859, v_acc=0.8840, v_err=116.0000, te_acc=0.8772, te_err=333.9999 
Epoch:0111, t_cost=193.992584229, t_acc=0.9973, t_err=39.9998, v_cost=993.453247070, v_acc=0.8910, v_err=109.0000, te_acc=0.8853, te_err=311.9999 
Epoch:0116, t_cost=169.893173218, t_acc=0.9984, t_err=24.0004, v_cost=901.299682617, v_acc=0.8960, v_err=104.0000, te_acc=0.8882, te_err=304.0001 
Epoch:0121, t_cost=146.467681885, t_acc=0.9991, t_err=12.9998, v_cost=821.696899414, v_acc=0.8980, v_err=102.0000, te_acc=0.8890, te_err=301.9999 
Epoch:0126, t_cost=151.389556885, t_acc=0.9991, t_err=14.0002, v_cost=741.863769531, v_acc=0.8960, v_err=104.0000, te_acc=0.8886, te_err=303.0001 
