Starting experiment with learning rate 0.00196027786822 layers 1 num_hidden 1000 dropout True
Epoch:0001, t_cost=186.566436768, t_acc=0.4228, t_err=8657.9999, v_cost=193.801910400, v_acc=0.4330, v_err=567.0000, te_acc=0.4357, te_err=1535.0000 
Epoch:0011, t_cost=49.310482025, t_acc=0.7776, t_err=3336.0001, v_cost=54.107948303, v_acc=0.7600, v_err=240.0000, te_acc=0.7625, te_err=646.0000 
Epoch:0021, t_cost=34.751590729, t_acc=0.8164, t_err=2754.0001, v_cost=38.229789734, v_acc=0.7920, v_err=208.0000, te_acc=0.7996, te_err=545.0000 
Epoch:0031, t_cost=28.308120728, t_acc=0.8255, t_err=2617.9996, v_cost=30.061147690, v_acc=0.8110, v_err=189.0000, te_acc=0.8114, te_err=513.0000 
Epoch:0041, t_cost=22.858716965, t_acc=0.8381, t_err=2428.0000, v_cost=27.059389114, v_acc=0.8240, v_err=176.0000, te_acc=0.8213, te_err=486.0000 
Epoch:0051, t_cost=19.485935211, t_acc=0.8424, t_err=2363.9998, v_cost=23.355457306, v_acc=0.8310, v_err=169.0000, te_acc=0.8217, te_err=485.0001 
Epoch:0061, t_cost=17.650789261, t_acc=0.8439, t_err=2340.9998, v_cost=22.172777176, v_acc=0.8220, v_err=178.0000, te_acc=0.8235, te_err=480.0000 
Epoch:0071, t_cost=15.737498283, t_acc=0.8485, t_err=2272.9996, v_cost=18.750097275, v_acc=0.8270, v_err=173.0000, te_acc=0.8331, te_err=454.0000 
Epoch:0081, t_cost=13.599557877, t_acc=0.8525, t_err=2213.0004, v_cost=17.316732407, v_acc=0.8320, v_err=168.0000, te_acc=0.8272, te_err=470.0000 
Epoch:0091, t_cost=12.449710846, t_acc=0.8576, t_err=2136.0004, v_cost=16.988267899, v_acc=0.8340, v_err=166.0000, te_acc=0.8375, te_err=442.0001 
Epoch:0101, t_cost=11.130150795, t_acc=0.8628, t_err=2058.0000, v_cost=15.811456680, v_acc=0.8290, v_err=171.0000, te_acc=0.8316, te_err=458.0000 
Epoch:0111, t_cost=10.593337059, t_acc=0.8625, t_err=2062.9996, v_cost=15.263174057, v_acc=0.8330, v_err=167.0000, te_acc=0.8382, te_err=439.9999 
Epoch:0121, t_cost=9.988048553, t_acc=0.8637, t_err=2045.0002, v_cost=13.443582535, v_acc=0.8330, v_err=167.0000, te_acc=0.8390, te_err=438.0000 
Epoch:0131, t_cost=9.204294205, t_acc=0.8659, t_err=2012.0001, v_cost=12.941143990, v_acc=0.8380, v_err=162.0000, te_acc=0.8301, te_err=461.9999 
Epoch:0141, t_cost=8.484372139, t_acc=0.8693, t_err=1960.0001, v_cost=13.337241173, v_acc=0.8340, v_err=166.0000, te_acc=0.8393, te_err=437.0000 
Epoch:0151, t_cost=7.778060436, t_acc=0.8675, t_err=1987.0001, v_cost=13.068342209, v_acc=0.8420, v_err=158.0000, te_acc=0.8349, te_err=449.0000 
Epoch:0161, t_cost=7.481987000, t_acc=0.8729, t_err=1906.9996, v_cost=11.967679977, v_acc=0.8500, v_err=150.0000, te_acc=0.8346, te_err=449.9999 
Epoch:0171, t_cost=7.058130264, t_acc=0.8746, t_err=1881.0001, v_cost=11.046796799, v_acc=0.8450, v_err=155.0000, te_acc=0.8338, te_err=452.0001 
Epoch:0181, t_cost=6.691328049, t_acc=0.8725, t_err=1912.0002, v_cost=9.783615112, v_acc=0.8490, v_err=151.0000, te_acc=0.8390, te_err=438.0000 
Epoch:0191, t_cost=6.429601192, t_acc=0.8745, t_err=1881.9997, v_cost=9.907875061, v_acc=0.8440, v_err=156.0000, te_acc=0.8390, te_err=438.0000 
Epoch:0201, t_cost=6.155565262, t_acc=0.8777, t_err=1835.0002, v_cost=10.372388840, v_acc=0.8610, v_err=139.0000, te_acc=0.8342, te_err=450.9999 
Epoch:0211, t_cost=5.815683365, t_acc=0.8742, t_err=1887.0002, v_cost=11.006371498, v_acc=0.8390, v_err=161.0000, te_acc=0.8504, te_err=407.0000 
Epoch:0221, t_cost=5.494723320, t_acc=0.8810, t_err=1785.0003, v_cost=10.597208977, v_acc=0.8410, v_err=159.0000, te_acc=0.8386, te_err=438.9999 
Epoch:0231, t_cost=5.365923405, t_acc=0.8801, t_err=1798.9996, v_cost=8.992666245, v_acc=0.8530, v_err=147.0000, te_acc=0.8426, te_err=428.0000 
Epoch:0241, t_cost=4.984490395, t_acc=0.8801, t_err=1798.9996, v_cost=9.401046753, v_acc=0.8550, v_err=145.0000, te_acc=0.8471, te_err=416.0000 
Epoch:0251, t_cost=4.803731918, t_acc=0.8843, t_err=1735.9999, v_cost=9.117960930, v_acc=0.8560, v_err=144.0000, te_acc=0.8419, te_err=429.9999 
Epoch:0261, t_cost=4.681809425, t_acc=0.8817, t_err=1775.0001, v_cost=9.043410301, v_acc=0.8500, v_err=150.0000, te_acc=0.8460, te_err=418.9999 
Epoch:0271, t_cost=4.358772755, t_acc=0.8849, t_err=1727.0002, v_cost=8.430136681, v_acc=0.8530, v_err=147.0000, te_acc=0.8375, te_err=442.0001 
Epoch:0281, t_cost=4.303706646, t_acc=0.8850, t_err=1725.0001, v_cost=8.650418282, v_acc=0.8460, v_err=154.0000, te_acc=0.8419, te_err=429.9999 
Epoch:0291, t_cost=4.150983810, t_acc=0.8841, t_err=1739.0004, v_cost=7.896049500, v_acc=0.8540, v_err=146.0000, te_acc=0.8430, te_err=427.0000 
Epoch:0301, t_cost=3.914260387, t_acc=0.8885, t_err=1671.9997, v_cost=7.960190773, v_acc=0.8540, v_err=146.0000, te_acc=0.8511, te_err=405.0000 
