train_step = tf.train.MomentumOptimizer(0.0001, 0.9).minimize(cross_entropy)
batch_size = 1
print("{:10} {:10.5f} {:10.5f} {:10.5f} {:10.5f}".format(
                num_epochs,
                training_errors,
                training_log_likelihood,
                validation_errors,
                validation_log_likelihood),
                file = log)

       500 4606.99975 -20920.47852  332.00002 -1411.13599
      1000 3625.00012 -15764.91992  269.99998 -1077.71130
      1500 2554.00032 -12796.69531  176.99999 -871.02002
      2000 2217.00042 -11528.80762  148.00000 -781.33038
      2500 2143.99964 -10715.83398  148.00000 -724.39545
      3000 2163.00040 -9980.09766  149.99998 -679.04462
      3500 2122.99973 -9361.99707  143.00001 -634.58362
      4000 2030.00039 -9117.84668  142.00002 -619.37787
      4500 1978.99997 -8787.59863  130.99998 -596.20557
      5000 2018.99976 -8528.83301  140.99997 -579.45343
      5500 1987.99968 -8421.25195  139.00000 -576.93530
      6000 1999.99988 -8262.86523  134.00000 -565.98749
      6500 1899.00041 -8043.43555  130.99998 -542.56464
      7000 2005.00041 -7986.79736  132.00003 -547.22113
      7500 1885.99974 -7863.90625  126.99997 -534.78595
      8000 1889.99981 -7708.92480  134.00000 -530.72803
      8500 1845.00039 -7583.01514  124.00001 -521.85992
      9000 1929.99959 -7543.72754  137.00002 -526.37347
      9500 1879.00007 -7599.36475  132.00003 -513.49780
     10000 1860.99976 -7425.79199  130.00000 -510.03619
     10500 1827.00008 -7446.90381  126.99997 -509.29315
     11000 1833.99975 -7250.14209  125.00000 -493.52969
     11500 1785.00026 -7235.71582  117.99997 -496.20764
     12000 1806.00017 -7132.50537  126.99997 -490.75238
     12500 1856.99970 -7116.30713  119.00002 -489.35822
     13000 1787.00030 -7079.24023  119.00002 -492.82434
     13500 1787.99987 -6961.31006  119.00002 -478.31674
     14000 1735.00031 -6952.16113  120.00000 -487.32050
     14500 1771.99960 -6898.51855  121.99998 -479.52661
     15000 1764.00036 -6870.15527  120.00000 -477.16855
     15500 1864.00026 -6999.60010  134.00000 -491.37366
     16000 1721.00008 -6770.77930  120.00000 -467.42041
     16500 1796.99957 -6823.43945  126.99997 -477.84048
     17000 1744.99959 -6801.04150  109.00003 -460.88770
     17500 1760.99986 -6738.23682  119.00002 -465.49365
     18000 1762.00032 -6793.56299  121.99998 -479.43164
     18500 1729.00021 -6669.93799  115.00001 -465.74973
     19000 1698.00013 -6640.53174  117.99997 -455.15073
     19500 1694.99964 -6577.17090  112.99998 -455.92526
     20000 1731.00024 -6642.93018  124.00001 -466.02188
     21000 1692.00003 -6571.12939  120.00000 -458.95987
     22000 1658.99992 -6540.62451  111.99999 -453.14764
     23000 1683.99990 -6525.48779  112.99998 -454.55518
     24000 1665.99959 -6476.44873  111.00000 -450.37018
     25000 1673.00016 -6436.96436  116.00000 -443.96094
     26000 1710.00034 -6556.14160  119.00002 -453.98648
     27000 1665.99959 -6355.84961  119.00002 -445.20557
     28000 1598.99980 -6314.89697  106.00001 -435.63016
     29000 1611.99957 -6262.90869  111.00000 -440.31665
     30000 1621.99974 -6241.05811  111.00000 -433.69293
     31000 1696.99967 -6381.63330  117.99997 -455.20416
     32000 1619.00014 -6179.85791  111.99999 -438.74323
     33000 1627.00027 -6251.48633  116.00000 -444.93747
     34000 1633.99994 -6246.64258  114.00002 -447.64160
     35000 1590.99966 -6221.46729  111.99999 -440.42450
     36000 1610.00043 -6173.54053  115.00001 -435.13950
     37000 1584.99956 -6149.29541  117.99997 -442.63354
     38000 1602.99987 -6115.67725  116.99998 -436.19531
     39000 1556.00041 -6034.48828  111.99999 -428.77399
     40000 1583.00042 -6098.21777  111.99999 -435.36191
     41000 1542.99974 -6070.44873  111.99999 -429.93286
     42000 1559.00002 -6009.40869  115.00001 -431.83466
     43000 1592.99970 -6007.18848  115.00001 -432.06918
     44000 1552.00034 -5990.40918  110.00001 -425.75476
     45000 1573.99982 -6002.13721  110.00001 -429.11972
     46000 1556.00041 -5964.33496  109.00003 -425.34897
     47000 1515.00016 -5961.37598  109.00003 -424.72919
     48000 1563.99965 -6007.80518  110.00001 -431.39249
     49000 1548.99985 -5924.20996  109.00003 -425.94962
     50000 1509.00006 -5922.49219  106.99999 -417.88867
     51000 1559.00002 -5937.77686  106.99999 -421.43069
     52000 1513.00013 -5890.24316  111.99999 -423.98529
     53000 1527.99994 -5854.63867  116.00000 -426.13208
     54000 1602.99987 -5957.42139  116.00000 -432.17923
     55000 1511.00010 -5895.08984  109.00003 -420.11221
     56000 1538.00011 -5852.04492  116.00000 -429.64380
     57000 1550.99988 -5926.27490  114.00002 -431.05518
     58000 1536.99964 -5880.72998  109.00003 -426.13196
     59000 1531.00044 -5860.17432  114.00002 -426.93396
     60000 1475.00038 -5824.97510  109.00003 -422.10327
     61000 1571.00022 -5908.62744  111.99999 -427.67056
     62000 1505.00000 -5766.42920  116.99998 -421.83618
     63000 1490.99976 -5726.60352  106.00001 -416.76465
     64000 1556.00041 -5814.05957  120.99999 -432.39682
     65000 1488.99972 -5746.81445  111.00000 -419.54819
     66000 1494.99983 -5739.25146  119.00002 -419.68808
     67000 1536.99964 -5783.97705  112.99998 -419.29932
     68000 1538.00011 -5799.45996  112.99998 -420.82166
     69000 1529.99997 -5737.90967  107.99998 -416.66943
     70000 1505.00000 -5806.25781  107.99998 -422.48956
     71000 1475.00038 -5704.63867  111.00000 -409.87946
     72000 1498.99989 -5673.36475  110.00001 -414.76541
     73000 1486.99969 -5669.88867  110.00001 -413.36197
     74000 1469.99985 -5688.15674  109.00003 -419.59491
     75000 1471.99988 -5659.21729  111.00000 -412.53458
     76000 1477.00042 -5686.69531  111.99999 -408.87073
     77000 1473.99992 -5714.01953  115.00001 -421.27917
     78000 1465.99978 -5626.93408  111.99999 -416.06503
     79000 1444.99987 -5598.60645  106.99999 -413.73621
     80000 1500.00036 -5711.19824  111.99999 -424.86652
     81000 1450.00041 -5616.04199  111.99999 -411.70660
     82000 1436.99974 -5670.13330  114.00002 -420.94922
     83000 1440.99981 -5610.46875  111.99999 -416.12262
     84000 1496.99986 -5701.11182  111.99999 -426.79291
     85000 1477.99999 -5640.33936  114.00002 -414.21011
     86000 1453.00001 -5571.65527  112.99998 -416.62875
     87000 1459.00011 -5604.55078  107.99998 -418.69958
     88000 1450.99998 -5569.60303  105.00002 -410.69086
     89000 1423.99997 -5605.77295  110.00001 -410.85364
     90000 1444.99987 -5556.65820  111.99999 -419.91104
     91000 1434.00013 -5567.53662  106.99999 -410.58282
     92000 1434.00013 -5590.90527  103.99997 -411.88751
     93000 1482.00005 -5609.32422  116.00000 -419.56610
     94000 1430.00007 -5544.49414  111.00000 -411.50836
     95000 1434.99970 -5554.65771  116.00000 -419.46881
     96000 1469.99985 -5551.41650  111.00000 -418.08496
     97000 1419.00033 -5544.04199  107.99998 -416.19043
     98000 1446.99991 -5519.56934  110.00001 -419.88525
     99000 1432.00010 -5506.10547  110.00001 -411.47916
