      1000 2700.99968 -9959.79004  186.99998 -687.74420
      2000 2835.00016 -9464.04004  191.99997 -634.98926
      3000 2076.00027 -7818.29590  142.00002 -557.85931
      4000 2074.00024 -8030.74316  162.99999 -555.50244
      5000 1985.99964 -7558.50244  139.99999 -518.93860
      6000 1729.00021 -6823.09229  121.99998 -496.21777
      7000 2213.00036 -8528.89844  160.00003 -606.89929
      8000 1719.99961 -6788.71777  123.00003 -492.57846
      9000 1768.99999 -6858.67139  133.00002 -501.65039
     10000 1633.00037 -6682.87256  123.00003 -477.28156
     11000 1748.00009 -7014.02588  124.00001 -521.96179
     12000 1717.00001 -6587.12256  134.00000 -495.51196
     13000 1640.99962 -6514.35400  123.00003 -495.16446
     14000 1704.99980 -7098.13916  134.99999 -532.14948
     15000 1885.99974 -7072.52979  144.99998 -522.96838
     16000 1696.00010 -6960.52148  129.00001 -527.87885
     17000 1769.99956 -7218.47266  130.99998 -545.01904
     18000 1606.99993 -6503.12891  123.00003 -495.60330
     19000 1569.00018 -6296.52393  121.99998 -503.24445
     20000 1837.00025 -7061.25195  137.00002 -555.25360
     21000 1602.00030 -6467.43945  120.00000 -515.67688
     22000 2120.00012 -8631.62598  163.99997 -638.58276
     23000 1702.99977 -6615.96582  140.99997 -528.06805
     24000 1538.00011 -6171.74854  125.00000 -528.44550
     25000 1606.99993 -6869.78174  124.00001 -528.67358
     26000 1579.99992 -6429.31641  125.99999 -529.39124
     27000 1633.99994 -6595.19482  132.00003 -523.21118
     28000 1596.00019 -6180.76807  130.99998 -480.30804
     29000 1818.99995 -7643.93018  124.00001 -591.04675
     30000 1463.00018 -6002.97559  120.00000 -480.63727
     31000 1581.99996 -6507.83545  123.00003 -506.93436
     32000 1646.00015 -6720.72559  135.99998 -542.60779
     33000 1471.99988 -6078.22461  120.99999 -503.97879
     34000 1660.99995 -6595.59180  130.99998 -513.19250
     35000 1550.00031 -6166.15625  120.99999 -508.71533
     36000 1523.99987 -6319.76953  124.00001 -512.68964
     37000 1748.00009 -7062.03613  129.00001 -576.08228
     38000 1552.99991 -6049.98584  134.00000 -543.46838
     39000 1507.00003 -6200.78223  116.00000 -530.14392
     40000 1552.00034 -6127.33057  130.00000 -522.92853
     41000 1837.99982 -7027.65186  143.00001 -576.71179
     42000 1731.00024 -7061.03320  137.00002 -608.94214
     43000 1415.00026 -5879.26416  110.00001 -503.64563
     44000 1679.99983 -6488.89209  121.99998 -517.98511
     45000 1571.00022 -6503.51270  137.00002 -566.21875
     46000 1444.99987 -5876.69727  120.00000 -508.48343
     47000 1650.99978 -6555.45703  126.99997 -531.88544
     48000 1413.00023 -5737.88623  114.00002 -498.90509
     49000 1444.00030 -5726.65479  123.00003 -509.59079
